Postcode,Suburb,State,Lat,Lon,Category
6239,BEELERUP,WA,-33.550,115.770,Delivery Area
6164,BEELIAR,WA,-32.130,115.860,Delivery Area
6353,BEENONG,WA,-33.020,118.660,Delivery Area
6503,BEERMULLAH,WA,-31.420,115.900,Delivery Area
6566,BEJOORDING,WA,-31.380,116.530,Delivery Area
6027,BELDON,WA,-31.780,115.760,Delivery Area
6069,BELHUS,WA,-31.770,116.010,Delivery Area
6056,BELLEVUE,WA,-31.800,116.030,Delivery Area
6104,BELMONT,WA,-31.940,115.920,Delivery Area
6984,BELMONT,WA,-31.970,115.930,Post Office Boxes
6477,BENCUBBIN,WA,-30.810,117.860,Delivery Area
6223,BENGER,WA,-33.170,115.860,Delivery Area
6463,BENJABERRING,WA,-31.140,117.290,Delivery Area
6255,BENJINUP,WA,-33.790,116.300,Delivery Area
6063,BENNETT SPRINGS,WA,,,Delivery Area
6102,BENTLEY,WA,-32.000,115.920,Delivery Area
6982,BENTLEY,WA,-31.870,116.170,Post Office Boxes
6102,BENTLEY DC,WA,-32.000,115.920,Delivery Area
6983,BENTLEY DC,WA,0.000,0.000,Post Office Boxes
6102,BENTLEY SOUTH,WA,-32.000,115.920,Delivery Area
6530,BERESFORD,WA,-28.790,114.600,Delivery Area
6510,BERKSHIRE VALLEY,WA,-30.730,116.030,Delivery Area
6701,BERNIER ISLAND,WA,-24.870,113.630,Delivery Area
6167,BERTRAM,WA,-32.230,115.870,Delivery Area
6304,BEVERLEY,WA,-32.180,117.120,Delivery Area
6163,BIBRA LAKE,WA,-32.090,115.840,Delivery Area
6965,BIBRA LAKE,WA,,,Post Office Boxes
6076,BICKLEY,WA,-32.010,116.090,Delivery Area
6157,BICTON,WA,-32.030,115.780,Delivery Area
6260,BIDDELIA,WA,-34.350,115.940,Delivery Area
6330,BIG GROVE,WA,-35.020,117.880,Delivery Area
6375,BILBARIN,WA,-32.250,117.720,Delivery Area
6725,BILINGURR,WA,-17.910,122.250,Delivery Area
6472,BIMBIJY,WA,-30.450,117.870,Delivery Area
6574,BINDI BINDI,WA,-30.630,116.360,Delivery Area
6502,BINDOON,WA,-31.390,116.100,Delivery Area
6502,BINDOON TRAINING AREA,WA,-31.390,116.100,Delivery Area
6430,BINDULI,WA,-30.810,121.380,Delivery Area
6233,BINNINGUP,WA,-33.280,115.710,Delivery Area
6532,BINNU,WA,-27.950,114.610,Delivery Area
6214,BIRCHMONT,WA,-32.730,115.760,Delivery Area
6530,BLUFF POINT,WA,-28.790,114.600,Delivery Area
6208,BLYTHEWOOD,WA,-32.640,115.870,Delivery Area
6280,BOALLIA,WA,-33.680,115.460,Delivery Area
6320,BOBALONG,WA,-34.010,117.560,Delivery Area
6424,BODALLIN,WA,-31.370,118.850,Delivery Area
6390,BODDINGTON,WA,-32.670,116.520,Delivery Area
6394,BOILUP,WA,-33.570,117.030,Delivery Area
6392,BOKAL,WA,-33.470,116.910,Delivery Area
6568,BOLGART,WA,-31.270,116.510,Delivery Area
6479,BONNIE ROCK,WA,-30.880,118.110,Delivery Area
6525,BONNIEFIELD,WA,-29.050,115.030,Delivery Area
6722,BOODARIE,WA,-20.400,118.570,Delivery Area
6423,BOODAROCKIN,WA,-31.000,118.860,Delivery Area
6525,BOOKARA,WA,-29.050,115.030,Delivery Area
6503,BOONANARRING,WA,-31.420,115.900,Delivery Area
6429,BOORABBIN,WA,-30.950,120.160,Delivery Area
6154,BOORAGOON,WA,-32.030,115.810,Delivery Area
6954,BOORAGOON,WA,0.000,0.000,Post Office Boxes
6475,BOORALAMING,WA,-30.690,117.270,Delivery Area
6431,BOORARA,WA,-30.800,121.640,Delivery Area
6262,BOORARA BROOK,WA,-34.690,116.210,Delivery Area
6532,BOOTENAL,WA,-27.950,114.610,Delivery Area
6521,BOOTHENDARRA,WA,-30.390,115.500,Delivery Area
6286,BORANUP,WA,-34.130,115.050,Delivery Area
6338,BORDEN,WA,-34.240,118.220,Delivery Area
6320,BORDERDALE,WA,-34.010,117.560,Delivery Area
6330,BORNHOLM,WA,-35.020,117.880,Delivery Area
6394,BOSCABEL,WA,-33.570,117.030,Delivery Area
6432,BOULDER,WA,-30.780,121.490,Delivery Area
6312,BOUNDAIN,WA,-32.950,117.360,Delivery Area
6211,BOUVARD,WA,-32.690,115.650,Delivery Area
6280,BOVELL,WA,-33.680,115.460,Delivery Area
6333,BOW BRIDGE,WA,-34.970,116.950,Delivery Area
6225,BOWELLING,WA,-33.340,116.100,Delivery Area
6535,BOWES,WA,-28.230,114.690,Delivery Area
6623,BOWGADA,WA,-29.330,116.150,Delivery Area
6338,BOXWOOD HILL,WA,-34.240,118.220,Delivery Area
6056,BOYA,WA,-31.800,116.030,Delivery Area
6237,BOYANUP,WA,-33.480,115.730,Delivery Area
6450,BOYATUP,WA,-33.820,121.940,Delivery Area
6316,BOYERINE,WA,-33.500,117.410,Delivery Area
6244,BOYUP BROOK,WA,-33.830,116.390,Delivery Area
6055,BRABHAM,WA,,,Delivery Area
6285,BRAMLEY,WA,-33.910,115.030,Delivery Area
6251,BRAZIER,WA,-33.770,115.830,Delivery Area
6503,BREERA,WA,-31.420,115.900,Delivery Area
6338,BREMER BAY,WA,-34.240,118.220,Delivery Area
6153,BRENTWOOD,WA,-32.020,115.830,Delivery Area
6043,BRETON BAY,WA,-31.200,115.420,Delivery Area
6255,BRIDGETOWN,WA,-33.790,116.300,Delivery Area
6069,BRIGADOON,WA,-31.770,116.010,Delivery Area
6532,BRINGO,WA,-27.950,114.610,Delivery Area
6280,BROADWATER,WA,-33.680,115.460,Delivery Area
6009,BROADWAY NEDLANDS,WA,-31.980,115.810,Delivery Area
6430,BROADWOOD,WA,-30.810,121.380,Delivery Area
6701,BROCKMAN,WA,-24.870,113.630,Delivery Area
6398,BROKE,WA,-34.920,116.470,Delivery Area
6112,BROOKDALE,WA,-32.150,116.010,Delivery Area
6239,BROOKHAMPTON,WA,-33.550,115.770,Delivery Area
6306,BROOKTON,WA,-32.370,117.310,Delivery Area
6725,BROOME,WA,-17.910,122.250,Delivery Area
6318,BROOMEHILL,WA,-33.850,117.640,Delivery Area
6318,BROOMEHILL EAST,WA,-33.850,117.640,Delivery Area
6318,BROOMEHILL VILLAGE,WA,-33.850,117.640,Delivery Area
6318,BROOMEHILL WEST,WA,-33.850,117.640,Delivery Area
6431,BROWN HILL,WA,-30.800,121.640,Delivery Area
6701,BROWN RANGE,WA,-24.870,113.630,Delivery Area
6418,BRUCE ROCK,WA,-31.880,118.150,Delivery Area
6224,BRUNSWICK,WA,-33.230,115.910,Delivery Area
6225,BUCKINGHAM,WA,-33.340,116.100,Delivery Area
6401,BUCKLAND,WA,-31.540,116.610,Delivery Area
6714,BULGARRA,WA,-20.660,117.090,Delivery Area
6149,BULL CREEK,WA,-32.060,115.860,Delivery Area
6429,BULLABULLING,WA,-30.950,120.160,Delivery Area
6373,BULLARING,WA,-32.500,117.740,Delivery Area
6532,BULLER,WA,-27.950,114.610,Delivery Area
6484,BULLFINCH,WA,-30.980,119.120,Delivery Area
6350,BULLOCK HILLS,WA,,,Delivery Area
6084,BULLSBROOK,WA,-31.620,116.210,Delivery Area
6431,BULONG,WA,-30.800,121.640,Delivery Area
6306,BULYEE,WA,-32.370,117.310,Delivery Area
6230,BUNBURY,WA,-33.330,115.640,Delivery Area
6231,BUNBURY,WA,-33.360,115.660,Post Office Boxes
6522,BUNDANOON,WA,-29.300,115.490,Delivery Area
6353,BUNICHE,WA,-33.020,118.660,Delivery Area
6620,BUNJIL,WA,,,Delivery Area
6613,BUNTINE,WA,-29.990,116.570,Delivery Area
6467,BURAKIN,WA,-30.530,117.170,Delivery Area
