Postcode,Suburb
3193,BLACK ROCK
3193,BLACK ROCK NORTH
3130,BLACKBURN
3130,BLACKBURN NORTH
3130,BLACKBURN SOUTH
3401,BLACKHEATH
3844,BLACKWARRY
3458,BLACKWOOD
3992,BLACKWOOD FOREST
3942,BLAIRGOWRIE
3342,BLAKEVILLE
3364,BLAMPIED
3980,BLIND BIGHT
3352,BLOWHARD
3351,BO PEEP
3678,BOBINAWARRAH
3301,BOCHARA
3699,BOGONG
3669,BOHO
3669,BOHO SOUTH
3531,BOIGBEAT
3490,BOINKA
3860,BOISDALE
3387,BOLANGUM
3432,BOLINDA
3546,BOLTON
3305,BOLWARRA
3352,BOLWARRAH
3820,BONA VISTA
3888,BONANG
3196,BONBEACH
3691,BONEGILLA
3939,BONEO
3561,BONN
3335,BONNIE BROOK
3720,BONNIE DOON
3352,BONSHAW
3260,BOOKAAR
3825,BOOLA
3960,BOOLARONG
3870,BOOLARRA
3870,BOOLARRA SOUTH
3880,BOOLE POOLE
3392,BOOLITE
3728,BOOMAHNOOMOONAH
3235,BOONAH
3163,BOORAN ROAD PO
3265,BOORCAN
3678,BOORHAMAN
3678,BOORHAMAN EAST
3685,BOORHAMAN NORTH
3723,BOOROLITE
3953,BOOROOL
3537,BOORT
3730,BOOSEY
3682,BORALMA
3379,BORNES HILL
3155,BORONIA
3518,BORUNG
3260,BOSTOCKS CREEK
3977,BOTANIC RIDGE
3599,BOUNDARY BEND
3465,BOWENVALE
3675,BOWEYA
3675,BOWEYA NORTH
3735,BOWMANS FOREST
3678,BOWSER
3128,BOX HILL
3129,BOX HILL NORTH
3128,BOX HILL SOUTH
3725,BOXWOOD
3463,BRADFORD
3361,BRADVALE
3195,BRAESIDE
3631,BRANDITT
3150,BRANDON PARK
3821,BRANDY CREEK
3302,BRANXHOLME
3821,BRAVINGTON
3019,BRAYBROOK
3303,BREAKAWAY CREEK
3219,BREAKWATER
3227,BREAMLEA
3517,BRENANAH
3131,BRENTFORD SQUARE
3352,BREWSTER
3860,BRIAGOLONG
3088,BRIAR HILL
3723,BRIDGE CREEK
3516,BRIDGEWATER
3516,BRIDGEWATER NORTH
3516,BRIDGEWATER ON LODDON
3741,BRIGHT
3186,BRIGHTON
3187,BRIGHTON EAST
3186,BRIGHTON NORTH
3184,BRIGHTON ROAD
3391,BRIM
3312,BRIMBOAL
3685,BRIMIN
3401,BRIMPAEN
3319,BRINGALBERT
3315,BRIT BRIT
3658,BROADFORD
3875,BROADLANDS
3047,BROADMEADOWS
3301,BROADWATER
3888,BRODRIBB RIVER
3673,BROKEN CREEK
3472,BROMLEY
3338,BROOKFIELD
3012,BROOKLYN
3896,BROOKVILLE
3364,BROOMFIELD
3418,BROUGHTON
3350,BROWN HILL
3685,BROWNS PLAINS
3749,BRUARONG
3268,BRUCKNELL
3885,BRUMBY
3056,BRUNSWICK
3057,BRUNSWICK EAST
3056,BRUNSWICK LOWER
3056,BRUNSWICK NORTH
3055,BRUNSWICK SOUTH
3055,BRUNSWICK WEST
3885,BRUTHEN
3375,BUANGOR
3885,BUCHAN
3885,BUCHAN SOUTH
3740,BUCKLAND
3240,BUCKLEY
3301,BUCKLEY SWAMP
3525,BUCKRABANYULE
3862,BUDGEE BUDGEE
3870,BUDGEREE
3579,BUDGERUM EAST
3958,BUFFALO
3737,BUFFALO RIVER
3314,BULART
3890,BULDAH
3586,BULGA
3377,BULGANA
3428,BULLA
3266,BULLAHARRE
3352,BULLAROOK
3461,BULLARTO
3461,BULLARTO SOUTH
3105,BULLEEN
3437,BULLENGAROOK
3700,BULLIOH
3875,BULLUMWAAL
3821,BULN BULN
3821,BULN BULN EAST
3902,BUMBERRAH
3634,BUNBARTHA
3851,BUNDALAGUAH
3730,BUNDALONG
3730,BUNDALONG SOUTH
3898,BUNDARA
3342,BUNDING
3083,BUNDOORA
3465,BUNG BONG
3260,BUNGADOR
3334,BUNGAL
3401,BUNGALALLY
3352,BUNGAREE
3726,BUNGEET
3726,BUNGEET WEST
3691,BUNGIL
3527,BUNGULUKE
3357,BUNINYONG
3352,BUNKERS HILL
3815,BUNYIP
3815,BUNYIP NORTH
3858,BURAGWONDUC
3568,BURKES BRIDGE
3475,BURKES FLAT
3371,BURNBANK
3558,BURNEWANG
