Postcode,Suburb,State,Lat,Lon,Category
1215,AUSTRALIA SQUARE,NSW,-33.890,151.180,Post Office Boxes
1220,GROSVENOR PLACE,NSW,-33.740,151.030,Post Office Boxes
1225,ROYAL EXCHANGE,NSW,-33.870,151.210,Post Office Boxes
1230,QUEEN VICTORIA BUILDING,NSW,-33.870,151.210,Post Office Boxes
1235,SYDNEY SOUTH,NSW,-33.820,151.040,Post Office Boxes
1240,HAYMARKET,NSW,-29.820,151.660,Post Office Boxes
1300,DARLINGHURST,NSW,-33.880,151.220,Post Office Boxes
1335,POTTS POINT,NSW,-33.820,151.120,Post Office Boxes
1340,KINGS CROSS,NSW,-35.540,148.020,Post Office Boxes
1350,WOOLLAHRA,NSW,0.000,0.000,Post Office Boxes
1355,BONDI JUNCTION,NSW,-33.890,151.260,Post Office Boxes
1360,DOUBLE BAY,NSW,-33.880,151.240,Post Office Boxes
1405,CHULLORA,NSW,,,Post Office Boxes
1435,ALEXANDRIA,NSW,-33.710,151.110,Post Office Boxes
1445,ROSEBERY,NSW,-34.080,151.010,Post Office Boxes
1450,CAMPERDOWN,NSW,-30.310,153.140,Post Office Boxes
1455,BOTANY,NSW,-33.950,151.200,Post Office Boxes
1460,MASCOT,NSW,-33.930,151.210,Post Office Boxes
1465,KENSINGTON,NSW,-33.890,151.140,Post Office Boxes
1466,UNSW SYDNEY,NSW,-33.910,151.230,Post Office Boxes
1470,DRUMMOYNE,NSW,-33.840,151.150,Post Office Boxes
1475,MARRICKVILLE,NSW,-33.910,151.150,Post Office Boxes
1480,KINGSGROVE,NSW,-33.940,151.100,Post Office Boxes
1481,HURSTVILLE BC,NSW,0.000,0.000,Post Office Boxes
1485,KOGARAH,NSW,0.000,0.000,Post Office Boxes
1490,MIRANDA,NSW,-34.040,151.110,Post Office Boxes
1495,CARINGBAH,NSW,-34.050,151.120,Post Office Boxes
1499,SUTHERLAND,NSW,-34.020,151.060,Post Office Boxes
1515,WEST CHATSWOOD,NSW,-33.820,151.210,Post Office Boxes
1560,NORTHBRIDGE,NSW,0.000,0.000,Post Office Boxes
1565,MILSONS POINT,NSW,-33.870,151.190,Post Office Boxes
1570,ARTARMON,NSW,-33.810,151.190,Post Office Boxes
1585,CROWS NEST,NSW,-33.830,151.200,Post Office Boxes
1590,ST LEONARDS,NSW,-33.290,151.470,Post Office Boxes
1595,LANE COVE,NSW,-33.790,151.190,Post Office Boxes
1630,HORNSBY,NSW,-33.710,151.100,Post Office Boxes
1635,HORNSBY WESTFIELD,NSW,0.000,0.000,Post Office Boxes
1640,FRENCHS FOREST,NSW,-33.790,151.250,Post Office Boxes
1655,MANLY,NSW,-33.330,151.510,Post Office Boxes
1660,MONA VALE,NSW,-33.700,151.220,Post Office Boxes
1670,NORTH RYDE,NSW,,,Post Office Boxes
1670,NORTH RYDE BC,NSW,0.000,0.000,Post Office Boxes
1675,GLADESVILLE,NSW,-33.830,151.140,Post Office Boxes
1680,RYDE,NSW,-33.760,151.140,Post Office Boxes
1685,WEST RYDE,NSW,-33.800,151.090,Post Office Boxes
1700,ERMINGTON,NSW,-33.950,151.210,Post Office Boxes
1710,EPPING,NSW,-33.780,151.120,Post Office Boxes
1715,PENNANT HILLS,NSW,-33.760,151.050,Post Office Boxes
1730,SEVEN HILLS,NSW,-33.760,150.970,Post Office Boxes
1750,NORTH PARRAMATTA,NSW,-33.860,151.020,Post Office Boxes
1755,BAULKHAM HILLS,NSW,-33.770,150.970,Post Office Boxes
1765,CASTLE HILL,NSW,-33.740,151.030,Post Office Boxes
1780,KEMPS CREEK,NSW,,,Post Office Boxes
1781,BOTANY,NSW,,,Post Office Boxes
1782,CHULLORA,NSW,,,Post Office Boxes
1783,GRANVILLE,NSW,,,Post Office Boxes
1790,ST MARYS,NSW,-33.860,151.200,Post Office Boxes
1800,ASHFIELD,NSW,-34.100,150.780,Post Office Boxes
1805,BURWOOD,NSW,-33.890,151.100,Post Office Boxes
1825,LIDCOMBE,NSW,0.000,0.000,Post Office Boxes
1835,AUBURN,NSW,-33.880,151.020,Post Office Boxes
1851,WETHERILL PARK,NSW,,,Post Office Boxes
1860,FAIRFIELD,NSW,-33.850,150.960,Post Office Boxes
1871,LIVERPOOL,NSW,-33.890,151.100,Post Office Boxes
1875,MOOREBANK,NSW,-33.950,150.920,Post Office Boxes
1885,BANKSTOWN,NSW,-33.910,151.020,Post Office Boxes
1890,INGLEBURN,NSW,-33.960,150.800,Post Office Boxes
