Postcode,Suburb,State,Lat,Lon,Category
4000,BRISBANE ADELAIDE STREET,QLD,-27.470,153.030,Delivery Area
4000,BRISBANE CITY,QLD,,,Delivery Area
4000,PETRIE TERRACE,QLD,,,Delivery Area
4000,SPRING HILL,QLD,-27.470,153.030,Delivery Area
4001,BRISBANE,QLD,-27.600,152.820,Post Office Boxes
4002,CITY EAST,QLD,0.000,0.000,Post Office Boxes
4003,GEORGE STREET,QLD,-24.870,152.350,Post Office Boxes
4004,SPRING HILL,QLD,-24.050,149.320,Post Office Boxes
4005,NEW FARM,QLD,-27.470,153.050,Delivery Area
4005,TENERIFFE,QLD,,,Delivery Area
4006,BOWEN HILLS,QLD,-27.440,153.040,Delivery Area
4006,FORTITUDE VALLEY,QLD,-27.440,153.040,Delivery Area
4006,HERSTON,QLD,-27.440,153.040,Delivery Area
4006,NEWSTEAD,QLD,-27.440,153.040,Delivery Area
4007,ASCOT,QLD,-27.430,153.060,Delivery Area
4007,HAMILTON,QLD,-27.430,153.060,Delivery Area
4007,HAMILTON CENTRAL,QLD,-27.430,153.060,Delivery Area
4008,BRISBANE AIRPORT,QLD,,,Delivery Area
4008,PINKENBA,QLD,-27.420,153.120,Delivery Area
4009,EAGLE FARM,QLD,-27.430,153.090,Delivery Area
4009,EAGLE FARM BC,QLD,-27.430,153.090,Delivery Area
4010,ALBION,QLD,-27.430,153.050,Delivery Area
4010,ALBION BC,QLD,-27.430,153.050,Delivery Area
4010,ALBION DC,QLD,-27.430,153.050,Delivery Area
4011,CLAYFIELD,QLD,-27.420,153.060,Delivery Area
4011,HENDRA,QLD,-27.420,153.060,Delivery Area
4012,NUNDAH,QLD,-27.400,153.060,Delivery Area
4012,WAVELL HEIGHTS,QLD,-27.400,153.060,Delivery Area
4012,WAVELL HEIGHTS NORTH,QLD,-27.400,153.060,Delivery Area
4013,NORTHGATE,QLD,-27.390,153.070,Delivery Area
4014,BANYO,QLD,-27.380,153.080,Delivery Area
4014,NUDGEE,QLD,-27.380,153.080,Delivery Area
4014,NUDGEE BEACH,QLD,-27.380,153.080,Delivery Area
4014,VIRGINIA,QLD,-27.380,153.080,Delivery Area
4014,VIRGINIA BC,QLD,-27.380,153.080,Delivery Area
4014,VIRGINIA DC,QLD,-27.380,153.080,Delivery Area
4017,BRACKEN RIDGE,QLD,-27.330,153.030,Delivery Area
4017,BRIGHTON,QLD,-27.330,153.030,Delivery Area
4017,BRIGHTON EVENTIDE,QLD,-27.330,153.030,Delivery Area
4017,BRIGHTON NATHAN STREET,QLD,-27.330,153.030,Delivery Area
4017,DEAGON,QLD,-27.330,153.030,Delivery Area
4017,SANDGATE,QLD,-27.330,153.030,Delivery Area
4017,SANDGATE DC,QLD,-27.330,153.030,Delivery Area
4017,SHORNCLIFFE,QLD,-27.330,153.030,Delivery Area
4018,FITZGIBBON,QLD,-27.350,153.030,Delivery Area
4018,TAIGUM,QLD,-27.350,153.030,Delivery Area
4019,CLONTARF,QLD,-27.260,153.080,Delivery Area
4019,CLONTARF BEACH,QLD,-27.260,153.080,Delivery Area
4019,CLONTARF DC,QLD,-27.260,153.080,Delivery Area
4019,MARGATE,QLD,-27.260,153.080,Delivery Area
4019,MARGATE BEACH,QLD,-27.260,153.080,Delivery Area
4019,WOODY POINT,QLD,-27.260,153.080,Delivery Area
4020,NEWPORT,QLD,-27.230,153.120,Delivery Area
4020,REDCLIFFE,QLD,-27.230,153.120,Delivery Area
4020,REDCLIFFE NORTH,QLD,-27.230,153.120,Delivery Area
4020,SCARBOROUGH,QLD,-27.230,153.120,Delivery Area
4021,KIPPA-RING,QLD,-27.230,153.090,Delivery Area
4022,ROTHWELL,QLD,-27.210,153.050,Delivery Area
4025,BULWER,QLD,-27.080,153.370,Delivery Area
4025,COWAN COWAN,QLD,-27.080,153.370,Delivery Area
4025,KOORINGAL,QLD,-27.080,153.370,Delivery Area
4025,MORETON ISLAND,QLD,,,Delivery Area
4025,TANGALOOMA,QLD,-27.080,153.370,Delivery Area
4029,ROYAL BRISBANE HOSPITAL,QLD,-27.450,153.030,Post Office Boxes
4030,KALINGA,QLD,,,Delivery Area
4030,LUTWYCHE,QLD,-27.420,153.030,Delivery Area
4030,WINDSOR,QLD,-27.420,153.030,Delivery Area
4030,WOOLOOWIN,QLD,-27.420,153.030,Delivery Area
4031,GORDON PARK,QLD,-27.410,153.030,Delivery Area
4031,KEDRON,QLD,-27.410,153.030,Delivery Area
4032,CHERMSIDE,QLD,-27.390,153.030,Delivery Area
4032,CHERMSIDE CENTRE,QLD,-27.390,153.030,Delivery Area
4032,CHERMSIDE SOUTH,QLD,-27.390,153.030,Delivery Area
4032,CHERMSIDE WEST,QLD,-27.390,153.030,Delivery Area
4034,ASPLEY,QLD,-27.360,153.020,Delivery Area
4034,BOONDALL,QLD,-27.360,153.020,Delivery Area
4034,CARSELDINE,QLD,-27.360,153.020,Delivery Area
4034,GEEBUNG,QLD,-27.360,153.020,Delivery Area
4034,ZILLMERE,QLD,-27.360,153.020,Delivery Area
4035,ALBANY CREEK,QLD,-27.350,152.970,Delivery Area
4035,BRIDGEMAN DOWNS,QLD,-27.350,152.970,Delivery Area
4036,BALD HILLS,QLD,-27.310,153.010,Delivery Area
4037,EATONS HILL,QLD,-27.340,152.950,Delivery Area
4051,ALDERLEY,QLD,-27.420,153.000,Delivery Area
4051,ENOGGERA,QLD,-27.420,153.000,Delivery Area
4051,GAYTHORNE,QLD,-27.420,153.000,Delivery Area
4051,GRANGE,QLD,-27.420,153.000,Delivery Area
4051,NEWMARKET,QLD,-27.420,153.000,Delivery Area
4051,WILSTON,QLD,-27.420,153.000,Delivery Area
4053,BROOKSIDE CENTRE,QLD,-27.410,152.980,Delivery Area
4053,EVERTON HILLS,QLD,-27.410,152.980,Delivery Area
4053,EVERTON PARK,QLD,-27.410,152.980,Delivery Area
4053,MCDOWALL,QLD,-27.410,152.980,Delivery Area
4053,MITCHELTON,QLD,-27.410,152.980,Delivery Area
4053,STAFFORD,QLD,-27.410,152.980,Delivery Area
4053,STAFFORD DC,QLD,-27.410,152.980,Delivery Area
4053,STAFFORD HEIGHTS,QLD,-27.410,152.980,Delivery Area
4054,ARANA HILLS,QLD,-27.400,152.960,Delivery Area
4054,KEPERRA,QLD,-27.400,152.960,Delivery Area
4055,BUNYA,QLD,-27.370,152.940,Delivery Area
4055,FERNY GROVE,QLD,-27.370,152.940,Delivery Area
4055,FERNY HILLS,QLD,-27.370,152.940,Delivery Area
4055,FERNY HILLS DC,QLD,-27.370,152.940,Delivery Area
4055,UPPER KEDRON,QLD,-27.370,152.940,Delivery Area
4059,KELVIN GROVE,QLD,-27.450,153.010,Delivery Area
4059,KELVIN GROVE DC,QLD,-27.450,153.010,Delivery Area
