Postcode,Suburb,State,Lat,Lon,Category
8001,MELBOURNE,VIC,-38.370,144.770,Post Office Boxes
8002,EAST MELBOURNE,VIC,-38.110,145.150,Post Office Boxes
8003,COLLINS STREET EAST,VIC,0.000,0.000,Post Office Boxes
8004,ST KILDA ROAD,VIC,-37.840,144.980,Post Office Boxes
8006,ABECKETT STREET,VIC,-37.810,144.960,Post Office Boxes
8007,COLLINS STREET WEST,VIC,0.000,0.000,Post Office Boxes
8008,ST KILDA ROAD CENTRAL,VIC,0.000,0.000,Post Office Boxes
8009,FLINDERS LANE,VIC,-37.820,144.960,Post Office Boxes
8010,LAW COURTS,VIC,-38.190,146.290,Post Office Boxes
8011,LITTLE LONSDALE STREET,VIC,-37.810,144.960,Post Office Boxes
8012,DOCKLANDS,VIC,0.000,0.000,Post Office Boxes
8438,SUNSHINE WEST,VIC,,,Post Office Boxes
8780,SUNSHINE WEST,VIC,,,Post Office Boxes
8781,SUNSHINE WEST,VIC,,,Post Office Boxes
8783,MELBOURNE AIRPORT,VIC,,,Post Office Boxes
8784,BAYSWATER,VIC,,,Post Office Boxes
